-15,-80,20,-15,-77,22,18, Occipital Lobe, Cuneus
0,-50,30,0,-47,30,31, Parietal Lobe, Precuneus
-10,-45,35,-10,-42,34,31, Limbic Lobe, Cingulate Gyrus
40,-65,0,40,-63,3,37, Occipital Lobe, Middle Occipital Gyrus
45,-65,0,45,-63,3,37, Temporal Lobe, Middle Temporal Gyrus
0,-45,20,0,-43,21,30, Limbic Lobe, Posterior Cingulate
30,-80,15,30,-77,18,19, Occipital Lobe, Middle Occipital Gyrus
30,-95,10,30,-92,14,19, Occipital Lobe, Middle Occipital Gyrus
50,-50,25,50,-47,25,40, Parietal Lobe, Inferior Parietal Lobule
40,-50,35,40,-47,35,40, Parietal Lobe, Supramarginal Gyrus
55,-65,-15,54,-64,-9,37, Occipital Lobe, Middle Occipital Gyrus
-10,-100,-10,-10,-97,-4,18, Occipital Lobe, Lingual Gyrus
10,-100,10,10,-96,14,18, Occipital Lobe, Middle Occipital Gyrus
-5,-60,25,-5,-57,26,31, Limbic Lobe, Cingulate Gyrus
45,-60,0,45,-58,3,37, Temporal Lobe, Middle Temporal Gyrus
50,-60,-10,50,-59,-5,19, Occipital Lobe, Middle Occipital Gyrus
40,-70,35,40,-66,36,39, Parietal Lobe, Precuneus
35,-90,15,35,-87,18,19, Occipital Lobe, Middle Occipital Gyrus
30,60,0,30,58,-3,10, Frontal Lobe, Superior Frontal Gyrus
15,-75,35,15,-71,36,7, Parietal Lobe, Precuneus
50,-60,-5,50,-58,-1,19, Temporal Lobe, Inferior Temporal Gyrus
-15,-85,0,-15,-82,4,17, Occipital Lobe, Lingual Gyrus
-30,-95,15,-30,-91,18,19, Occipital Lobe, Middle Occipital Gyrus
10,-95,10,10,-92,14,18, Occipital Lobe, Middle Occipital Gyrus
55,-70,15,54,-67,17,39, Temporal Lobe, Middle Temporal Gyrus
-10,65,10,-10,63,6,10, Frontal Lobe, Medial Frontal Gyrus
55,-60,20,54,-57,21,39, Temporal Lobe, Superior Temporal Gyrus
55,-65,15,54,-62,17,19, Occipital Lobe, Middle Temporal Gyrus
40,-65,35,40,-61,35,39, Parietal Lobe, Angular Gyrus
-5,-50,20,-5,-48,21,30, Limbic Lobe, Posterior Cingulate
